xEig eigsU eigsP cumEigsU cumEigsP xErr oldErr newErr
1.0 0.9980929778798363 0.9704348480449259 0.9980929778798363 0.9704348480449259 1.0 0.00778429 0.00236024
2.0 0.0016342956565280399 0.02807426142562612 0.9997272735363644 0.9985091094705519 2.0 0.0077489 0.00225459
3.0 0.00026444937123811077 0.0013532647533429898 0.9999917229076025 0.9998623742238949 3.0 0.00775245 0.00216186
4.0 7.89457302600826e-06 0.00011809811054956037 0.9999996174806285 0.9999804723344444 4.0 0.00779249 0.00216153
5.0 3.6302960199518e-07 1.620945574483903e-05 0.9999999805102305 0.9999966817901893 5.0 0.00787784 0.00224879
6.0 1.656329555293e-08 2.72587105520653e-06 0.999999997073526 0.9999994076612445 6.0 0.00800721 0.00230806
7.0 2.599307861e-09 2.8906798812076e-07 0.9999999996728339 0.9999996967292326 7.0 0.00817655 0.00229361
8.0 2.8154383163e-10 2.2741740548599e-07 0.9999999999543777 0.9999999241466381 8.0 0.00837321 0.00220612
9.0 3.258467906e-11 4.61290285337e-08 0.9999999999869624 0.9999999702756666 9.0 0.00855936 0.00208194
10.0 7.84682052e-12 2.041183527052e-08 0.9999999999948093 0.9999999906875018 10.0 0.00878705 0.00202043
11.0 3.87424046e-12 6.76976491899e-09 0.9999999999986835 0.9999999974572668 11.0 0.00905042 0.00197937
12.0 7.3967563e-13 1.41567450106e-09 0.9999999999994231 0.9999999988729412 12.0 0.00934797 0.00194663
13.0 3.6529638e-13 7.1460251967e-10 0.9999999999997884 0.9999999995875437 13.0 0.00966687 0.00191979
14.0 8.239477e-14 2.4602970806e-10 0.9999999999998708 0.9999999998335735 14.0 0.00999854 0.0018987
15.0 4.89904e-14 1.153897587e-10 0.9999999999999197 0.9999999999489633 15.0 0.0103237 0.00188029
16.0 4.193985e-14 3.342707606e-11 0.9999999999999617 0.9999999999823903 16.0 0.0106045 0.0018553
17.0 1.974879e-14 6.12659639e-12 0.9999999999999815 0.9999999999885169 17.0 0.0108182 0.00182111
18.0 5.78691e-15 5.80949548e-12 0.9999999999999872 0.9999999999943263 18.0 0.0110847 0.0017934
19.0 5.12456e-15 4.20414535e-12 0.9999999999999923 0.9999999999985305 19.0 0.0113754 0.00176769
20.0 3.81799e-15 6.2679463e-13 0.9999999999999961 0.9999999999991573 20.0 0.0116899 0.00174404
21.0 1.25758e-15 2.9368977e-13 0.9999999999999973 0.999999999999451 21.0 0.0120157 0.00172234
22.0 1.0897e-15 1.8318732e-13 0.9999999999999984 0.9999999999996342 22.0 0.012347 0.00170243
23.0 5.0698e-16 1.5828174e-13 0.999999999999999 0.9999999999997925 23.0 0.0126904 0.0016845
24.0 3.9357e-16 9.908894e-14 0.9999999999999994 0.9999999999998916 24.0 0.013046 0.00166843
25.0 1.4709e-16 6.1664e-14 0.9999999999999996 0.9999999999999533 25.0 0.0133994 0.00165359
26.0 1.0197e-16 1.306908e-14 0.9999999999999997 0.9999999999999664 26.0 0.0137633 0.00164021
27.0 7.696e-17 8.65262e-15 0.9999999999999998 0.999999999999975 27.0 0.0141359 0.00162797
28.0 4.893e-17 7.73667e-15 0.9999999999999998 0.9999999999999828 28.0 0.0145093 0.00161616
29.0 4.768e-17 4.7674e-15 0.9999999999999998 0.9999999999999876 29.0 0.0148888 0.00160473
30.0 1.878e-17 2.81732e-15 0.9999999999999998 0.9999999999999903 30.0 0.0152731 0.00159334
31.0 1.463e-17 2.66242e-15 0.9999999999999998 0.999999999999993 31.0 0.0156614 0.00158186
32.0 9.41e-18 2.18353e-15 0.9999999999999998 0.9999999999999952 32.0 0.0160462 0.00156994
33.0 7.48e-18 9.8413e-16 0.9999999999999998 0.9999999999999962 33.0 0.0164332 0.0015577
34.0 5.46e-18 9.1999e-16 0.9999999999999998 0.9999999999999971 34.0 0.0168219 0.00154498
35.0 3.67e-18 5.1568e-16 0.9999999999999998 0.9999999999999977 35.0 0.0172118 0.00153186
36.0 3.39e-18 3.9436e-16 0.9999999999999998 0.9999999999999981 36.0 0.0176023 0.00151845
37.0 2.27e-18 3.3496e-16 0.9999999999999998 0.9999999999999984 37.0 0.0179867 0.00150493
38.0 2.22e-18 3.2528e-16 0.9999999999999998 0.9999999999999988 38.0 0.0183713 0.00149138
39.0 1.68e-18 2.5536e-16 0.9999999999999998 0.999999999999999 39.0 0.0187313 0.00147847
40.0 1.47e-18 2.2119e-16 0.9999999999999998 0.9999999999999992 40.0 0.0191465 0.00146536
41.0 1.28e-18 1.5733e-16 0.9999999999999998 0.9999999999999993 41.0 0.019531 0.00145341
42.0 1.1e-18 1.4264e-16 0.9999999999999998 0.9999999999999994 42.0 0.0199156 0.00144241
43.0 9.9e-19 9.842e-17 0.9999999999999998 0.9999999999999996 43.0 0.0203005 0.00143276
44.0 9e-19 9.545e-17 0.9999999999999998 0.9999999999999997 44.0 0.0206861 0.00142471
45.0 5.8e-19 7.522e-17 0.9999999999999998 0.9999999999999998 45.0 0.0210726 0.00141857
46.0 4.8e-19 6.654e-17 0.9999999999999998 0.9999999999999999 46.0 0.0214604 0.00141471
47.0 4.6e-19 5.077e-17 0.9999999999999998 0.9999999999999999 47.0 0.0218497 0.00141358
48.0 4.2e-19 4.814e-17 0.9999999999999998 0.9999999999999999 48.0 0.022247 0.00141532
49.0 3.9e-19 2.893e-17 0.9999999999999998 0.9999999999999999 49.0 0.0226408 0.00142091
50.0 2e-19 1.971e-17 0.9999999999999998 0.9999999999999999 50.0 0.0230374 0.00143077
